abash,abashed,abashes,abashing,
abate,abated,abates,abating,
abide,abode,abides,abiding,
absorb,absorbed,absorbs,absorbing,
accept,accepted,accepts,accepting,
accompany,accompanied,accompanies,accompanying,
ache,ached,aches,aching,
achieve,achieved,achieves,achieving,
acquire,acquired,acquires,acquiring,
act,acted,acts,acting,
add,added,adds,adding,
address,addressed,addresses,addressing,
adjust,adjusted,adjusts,adjusting,
admire,admired,admires,admiring,
admit,admitted,admits,admitting,
advise,advised,advises,advising,
afford,afforded,affords,affording,
agree,agreed,agrees,agreeing,
alight,alit,alights,alighting,
allow,allowed,allows,allowing,
animate,animated,animates,animating,
announce,announced,announces,announcing,
answer,answered,answers,answering,
apologize,apologized,apologizes,apologizing,
appear,appeared,appears,appearing,
applaud,applauded,applauds,applauding,
apply,applied,applies,applying,
approach,approached,approaches,approaching,
approve,approved,approves,approving,
argue,argued,argues,arguing,
arise,arose,arisen,arises,arising,
arrange,arranged,arranges,arranging,
arrest,arrested,arrests,arresting,
ask,asked,asks,asking,
assert,asserted,asserts,asserting,
assort,assorted,assorts,assorting,
astonish,astonished,astonishes,astonishing,
attack,attacked,attacks,attacking,
attend,attended,attends,attending,
attract,attracted,attracts,attracting,
audit,audited,audits,auditing,
avoid,avoided,avoids,avoiding,
awake,awoke,awoken,awakes,awaking,
bang,banged,bangs,banging,
banish,banished,banishes,banishing,
bash,bashed,bashes,bashing,
bat,batted,bats,batting,
be,am,are,was,were,been,is,being,
bear,bore,born,bears,bearing,
bear,bore,borne,bears,bearing,
beat,beaten,beats,beating,
beautify,beautified,beautifies,beautifying,
become,became,becomes,becoming,
befall,befell,befallen,befalls,befalling,
beg,begged,begs,begging,
begin,began,begun,begins,beginning,
behave,behaved,behaves,behaving,
behold,beheld,beholds,beholding,
believe,believed,believes,believing,
belong,belonged,belongs,belonging,
bend,bent,bends,bending,
bereave,bereft,bereaves,bereaving,
beseech,besought,beseeches,beseeching,
bet,bets,betting,
betray,betrayed,betrays,betraying,
bid,bade,bidden,bids,bidding,
bid,bids,bidding,
bind,bound,binds,binding,
bite,bit,bitten,bites,biting,
bleed,bled,bleeds,bleeding,
bless,blessed,blesses,blessing,
blossom,blossomed,blossoms,blossoming,
blow,blew,blown,blows,blowing,
blur,blurred,blurs,blurring,
blush,blushed,blushes,blushing,
board,boarded,boards,boarding,
boast,boasted,boasts,boasting,
boil,boiled,boils,boiling,
bow,bowed,bows,bowing,
box,boxed,boxes,boxing,
bray,brayed,brays,braying,
break,broke,broken,breaks,breaking,
breathe,breathed,breathes,breathing,
breed,bred,breeds,breeding,
bring,brought,brings,bringing,
broadcast,broadcasts,broadcasting,
brush,brushed,brushes,brushing,
build,built,builds,building,
burn,burnt,burns,burning,
burst,bursts,bursting,
bury,buried,buries,burying,
bust,busts,busting,
buy,bought,buys,buying,
buzz,buzzed,buzzes,buzzing,
calculate,calculated,calculates,calculating,
call,called,calls,calling,
canvass,canvassed,canvasses,canvassing,
capture,captured,captures,capturing,
caress,caressed,caresses,caressing,
carry,carried,carries,carrying,
carve,carved,carves,carving,
cash,cashed,cashes,cashing,
cast,casts,casting,
catch,caught,catches,catching,
cause,caused,causes,causing,
cease,ceased,ceases,ceasing,
celebrate,celebrated,celebrates,celebrating,
challenge,challenged,challenges,challenging,
change,changed,changes,changing,
charge,charged,charges,charging,
chase,chased,chases,chasing,
chat,chatted,chats,chatting,
check,checked,checks,checking,
cheer,cheered,cheers,cheering,
chew,chewed,chews,chewing,
chide,chid,chid/chidden,chides,chiding,
chip,chipped,chips,chipping,
choke,choked,chokes,choking,
choose,chose,chosen,chooses,choosing,
classify,classified,classifies,classifying,
clean,cleaned,cleans,cleaning,
cleave,clove/cleft,cloven/cleft,cleaves,cleaving,
click,clicked,clicks,clicking,
climb,climbed,climbs,climbing,
cling,clung,clings,clinging,
close,closed,closes,closing,
clothe,clad,clothes,clothing,
clutch,clutched,clutches,clutching,
collapse,collapsed,collapses,collapsing,
collect,collected,collects,collecting,
